,model,no_offload_kqv,flash_attn,n_gpu_layers,promptlen,prompt_tokens,prompt_seconds,prompttps,completion_tokens,gen_seconds,gentps,overhead_seconds
149,Q4_K_S,False,False,28,8192,8588,4.1660261722281575,2061.4368813258784,257,15.065293073654175,16.992699627442807,0.25239258725196123
150,Q4_K_S,False,False,28,11264,11742,6.532839476812834,1797.3807624810263,257,16.513800859451294,15.50218524365239,0.26661175464486475
151,Q4_K_S,False,False,28,15360,16017,9.645567400380969,1660.5555002775036,257,17.045060396194458,15.019013957683335,0.3132703136652708
152,Q4_K_S,False,False,32,128,133,0.15147294476628304,878.0445920901183,257,7.077723503112793,36.16982210274403,0.21749987080693245
153,Q4_K_S,False,False,32,1024,1058,0.35090155247598886,3015.0906786666205,257,7.791639089584351,32.85573125970552,0.21982092503458261
154,Q4_K_S,False,False,32,2048,2146,0.6346698477864265,3370.2562166145276,257,7.479799747467041,34.22551520669946,0.23864776641130447
155,Q4_K_S,False,False,32,3072,3223,0.8497374663129449,3792.936204148753,257,8.058334112167358,31.768352669004262,0.22692948672920465
156,Q4_K_S,False,False,32,5120,5375,1.5526836151257157,3461.748386882284,257,8.07135558128357,31.717100977886655,0.22892405930906534
157,Q4_K_S,False,False,32,8192,8510,2.914480152539909,2919.903226166667,257,8.26952576637268,30.95703517135192,0.3120326427742839
158,Q4_K_S,False,False,32,11264,11741,4.450451392680407,2631.643167536344,257,8.652504682540894,29.58680860543875,0.30187107995152473
159,Q4_K_S,False,False,32,15360,16024,7.378274358808994,2163.2429513743964,257,9.523825645446777,26.87995449836804,0.3022119179368019
160,Q4_K_S,False,False,33,128,131,0.13749705255031586,938.2019294762232,257,3.6250243186950684,70.62021589200113,0.22097168862819672
161,Q4_K_S,False,False,33,1024,1055,0.3015732876956463,3498.3204515936,257,3.811383008956909,67.16721972008305,0.24614740535616875
162,Q4_K_S,False,False,33,2048,2121,0.512328271754086,4139.923788976583,257,3.9275805950164795,65.18007557243415,0.21606624592095613
163,Q4_K_S,False,False,33,3072,3225,0.7618318237364292,4233.217751633007,257,4.008357763290405,63.86655461359147,0.2345622219145298
164,Q4_K_S,False,False,33,5120,5393,1.3777263602241874,3914.4202765507343,257,4.353565454483032,58.802377654937295,0.24074725713580847
165,Q4_K_S,False,False,33,8192,8513,2.5572026455774903,3332.547780184032,257,4.716106653213501,54.28206332559603,0.24975449685007334
166,Q4_K_S,False,False,33,11264,11753,4.129930450581014,2831.040410948113,257,5.117005109786987,50.02926409245991,0.35255332197993994
167,Q4_K_S,False,False,33,15360,15929,6.6783687034621835,2385.1633096780247,257,5.736334562301636,44.62780146792607,0.31040181312710047
168,Q4_K_S,False,True,28,128,144,0.18685888405889273,770.6350207818601,257,12.214222431182861,20.959172918485013,0.2060346519574523
169,Q4_K_S,False,True,28,1024,1069,0.45831402111798525,2332.461916378517,257,13.092997312545776,19.552436610882026,0.21728547383099794
170,Q4_K_S,False,True,28,2048,2156,0.787005371414125,2739.498456187163,257,14.490064859390259,17.667277716434768,0.22890848573297262
171,Q4_K_S,False,True,28,3072,3207,1.1325553329661489,2831.649727524487,257,17.352761030197144,14.752695525196868,0.21275338251143694
172,Q4_K_S,False,True,28,5120,5380,2.278573633171618,2361.1262421708134,257,18.86111283302307,13.572900086350215,0.2889693984761834
173,Q4_K_S,False,True,28,8192,8544,3.205561798065901,2671.2946246010756,257,22.86590838432312,11.19570653818913,0.23111597821116447
174,Q4_K_S,False,True,28,11264,11735,4.479914109222591,2619.4698634604847,257,28.052772521972656,9.125657715275203,0.2969428701326251
175,Q4_K_S,False,True,28,15360,15360,6.411080022828769,2395.852172380573,229,30.043201208114624,7.589071431523001,0.31651534654397884
176,Q4_K_S,False,True,32,128,137,0.13921340368688107,984.100642407541,257,7.049994230270386,36.31208645544973,0.21699674986302853
177,Q4_K_S,False,True,32,1024,1071,0.31381329614669085,3412.8573044889886,257,7.126770257949829,35.9208997532136,0.21768125612288713
178,Q4_K_S,False,True,32,2048,2126,0.5127117121592164,4146.579743705555,257,7.146924734115601,35.81960206996343,0.2234177077189088
179,Q4_K_S,False,True,32,3072,3221,0.7095956122502685,4499.745974857939,257,7.193980693817139,35.58530539566488,0.23070733901113272
180,Q4_K_S,False,True,32,5120,5351,1.24285679589957,4305.403500752464,257,7.8588879108428955,32.57458344033603,0.27498894464224577
181,Q4_K_S,False,True,32,8192,8544,2.0668151546269655,4133.89653200123,257,7.717057943344116,33.17326394067021,0.3007137943059206
182,Q4_K_S,False,True,32,11264,11730,3.016166085150184,3908.604389540104,253,8.138027906417847,30.96573308642339,0.2806030453705206
183,Q4_K_S,False,True,32,15360,16021,4.7002390790730715,3402.1673644638445,257,8.674389600753784,29.51216302041059,0.34027637727558613
184,Q4_K_S,False,True,33,128,138,0.14025634713470936,983.9126914339054,257,3.4544215202331543,74.10792183309506,0.21856731362640858
185,Q4_K_S,False,True,33,1024,1068,0.29032325372099876,3678.658138167431,257,3.5458993911743164,72.19606981438325,0.21625399217009544
186,Q4_K_S,False,True,33,2048,2138,0.4547267332673073,4717.118750832447,257,3.746717929840088,68.32646726916168,0.256838358938694
187,Q4_K_S,False,True,33,3072,3188,0.6437154868617654,4952.498526238824,257,3.7838475704193115,67.65600231925596,0.21735940966755152
188,Q4_K_S,False,True,33,5120,5359,1.0428519127890468,5138.792895021563,257,4.061099290847778,63.03711918024996,0.25340841989964247
189,Q4_K_S,False,True,33,8192,8554,1.770605114288628,4831.1167357249615,257,4.248589277267456,60.25529494454928,0.27635028678923845
190,Q4_K_S,False,True,33,11264,11673,2.5369754265993834,4601.148232502489,256,4.502702474594116,56.632655930255815,0.27199344150722027
191,Q4_K_S,False,True,33,15360,16039,3.845321104861796,4152.839142564647,257,5.019616603851318,50.9999109899316,0.28553168568760157
192,Q4_K_S,True,True,28,128,134,0.26068657357245684,514.0272403126094,257,14.03706431388855,18.237431579387188,0.20565217453986406
193,Q4_K_S,True,True,28,1024,1063,0.6667858911678195,1594.2148957864792,257,17.043351411819458,15.020519956096521,0.20909636747092009
194,Q4_K_S,True,True,28,2048,2137,1.134523680433631,1902.1198386755418,257,20.831477165222168,12.289094910052182,0.24988370202481747
195,Q4_K_S,True,True,28,3072,3193,1.928250235505402,1661.0914605491962,257,24.726765871047974,10.353153393980438,0.2208253564313054
196,Q4_K_S,True,True,28,5120,5120,3.7863154328746713,1352.2381034463258,235,30.057724952697754,7.785020335645793,0.22951149114798675
197,Q4_K_S,True,True,28,8192,8192,5.609318085277781,1460.4270742821177,171,30.029075622558594,5.66117992231142,0.2549107747919419
198,Q4_K_S,True,True,28,11264,11264,8.279799304845678,1360.4194480182443,135,30.121034622192383,4.44871836843454,0.2483180388239504
199,Q4_K_S,True,True,28,15360,15360,11.067151101430257,1387.8910533728015,109,30.28031277656555,3.5666738582562805,0.29178741772969563
200,Q4_K_S,True,True,32,128,132,0.19391745049506426,680.7020186322003,257,11.036160469055176,23.196473150042607,0.20482963044196367
201,Q4_K_S,True,True,32,1024,1080,0.8374786823987961,1289.5850637135604,257,13.028064727783203,19.64988702075322,0.22110943496227264
202,Q4_K_S,True,True,32,2048,2126,0.9980170000344515,2125.214299883452,257,15.244231462478638,16.793237535792155,0.21041433699429035
203,Q4_K_S,True,True,32,3072,3193,1.2498397640883923,2554.7274872702656,257,18.64456033706665,13.730546356250334,0.21574519202113152
204,Q4_K_S,True,True,32,5120,5321,2.5052490765228868,2123.940509494242,257,25.58201766014099,10.007029289127193,0.2276838356629014
